No,Names,Val
1,Agave fourcroydes,1
2,Agave americana,1
3,Agave angustifolia,1
4,Agave asperrima,1
5,Agave atrovirens,1
6,Agave cupreata,1
7,Agave duranguensis,1
8,Agave funkiana ,1
9,Agave horrida,1
10,Agave inaequidens,1
11,Agave karwinskii,1
12,Agave latissima,1
13,Agave lecheguilla,1
14,Agave lophanta,1
15,Agave mapisaga,1
16,Agave marmorata,1
17,Agave maximiliana,1
18,Agave peacockii,1
19,Agave potatorum,1
20,Agave rhodacantha,1
21,Agave salmiana,1
22,Agave scabra,1
23,Agave sisalana,1
24,Agave shrevei,1
25,Agave stratia,1
26,Agave spp.,1
27,Agave tequilana,1
28,Agave weberi,1
29,Chlorogalum pomeridia,1
30,Yucca guatemalensis,1
31,Yucca spp.,1
32,Amaranthus cruentus,1
33,Amaranthus hypochondriacus,1
34,Amarnthus spp.,1
35,Polianthes tuberosa,1
36,Bomarea edulis,1
37,Spondias mombin,1
38,Cyrtocarpa procera,1
39,Anacardium occidentale,1
40,Annona diversifolia,1
41,Annona glabra,1
42,Annona purpurea,1
43,Annona reticulata,1
44,Annona cherimola,1
45,Annona muricata,1
46,Acrocomia acaleata,1
47,Chamaedorea elegans,1
48,Chamaedorea spp.,1
49,Chamaedorea tepejilote,1
50,Chamaedorea wendlandiana,1
51,Dahlia coccinea,1
52,Dahlia excelsa,1
53,Dahlia lehmannii,1
54,Helianthus annuus,1
55,Montanoa spp.,1
56,Porophyllum calcicola,1
57,Porophyllum macrocephalum,1
58,Tagetes erecta,1
59,Tagetes lucida,1
60,Crescentia cujete,1
61,Parmentiera aculeata,1
62,Bixa orellana,1
63,Aechmea magdalenae,1
64,Bromelia karatas,1
65,Bromelia pinguin,1
66,Bromelia spp.,1
67,Protium copal,1
68,Echinocactus platyacanthus,1
69,Escontria chiotilla,1
70,Hylocereus ocamponis,1
71,Hylocereus undatus,1
72,Marginatocereus marginatus,1
73,Opuntia cochenilifera,1
74,Opuntia ficus-indica,1
75,Opuntia hyptiacantha,1
76,Opuntia joconostle,1
77,Opuntia megacantha,1
78,Opuntia spp.,1
79,Opuntia undulata,1
80,Opuntia streptacantha,1
81,Pachycereus marginatus,1
82,Pachycereus pringlei,1
83,Sambucus mexicana,1
84,Carica papaya,1
85,Chenopodium ambrosioides,1
86,Chenopodium berlandieri susp. nuttalliae,1
87,Ipomoea batatas,1
88,Cucurbita argyrosperma,1
89,Cucurbita ficifolia,1
90,Cucurbita moschata,1
91,Cucurbita pepo,1
92,Sechium edule,1
93,Diospyros digyna,1
94,Cnidoscolus chayamansa,1
95,Euphorbia antisyphilitica,1
96,Euphorbia pulcherrima,1
97,Jatropha curcas,1
98,Canavalia ensiformis,1
99,Crotalaria longirostrata,1
100,Erythrina americana,1
101,Gliricidia sepium,1
102,Indigofera suffruticosa,1
103,Inga jinicuil,1
104,Inga spp.,1
105,Leucaena collinsii,1
106,Leucaena diversifolia,1
107,Leucaena esculenta,1
108,Leucaena lanceolata,1
109,Leucaena leucocephala,1
110,Leucaena macrophylla,1
111,Leucaena pulverulenta,1
112,Leucaena spp.,1
113,Pachyrhizus erosus,1
114,Phaseolus acutifolius,1
115,Phaseolus coccineus,1
116,Phaseolus dumosus,1
117,Phaseolus lunatus,1
118,Phaseolus vulgaris,1
119,Arachis hypogaea,1
120,Tigridia pavonia,1
121,Salvia hispanica,1
122,Persea americana,1
123,Persea americana var. drymifolia,1
124,Persea schiedeana,1
125,Byrsonima crassifolia,1
126,Gossypium hirsutum,1
127,Brosimum alicastrum,1
128,Pimenta dioica,1
129,Psidium guajava,1
130,Psidium sartorianum,1
131,Vanilla planifolia,1
132,Pinus cembroides,1
133,Pinus spp.,1
134,Taxodium mucronatum,1
135,Piper auritum,1
136,Piper sanctum,1
137,Piper nigrum,1
138,Panicum hirticaule var hirticaule,1
139,Panicum sonorum  ,1
140,Zea mays,1
141,Crataegus mexicana,1
142,Crataegus pubescens,1
143,Prunus serotina subsp capulli,1
144,Casimiroa edulis,1
145,Casimiroa sapota,1
146,Casimiroa tetrameria,1
147,Pouteria campechiana,1
148,Pouteria sapota,1
149,Manilkara zapota,1
150,Physalis phyladelphica,1
151,Capsicum annuum var ammuum,1
152,Capsicumm annuum var glabriusculum,1
153,Capsicum frutescens,1
154,Jaltomata procumbens,1
155,Lycopersicon esculentum,1
156,Nicotiana rustica,1
157,Nicotiana tabacum,1
158,Solanum cardiophyllum,1
159,Solanum jamesii,1
160,Solanum stoloniferum,1
161,Theobroma bicolor,1
162,Theobroma cacao,1
